Episode 0, Total Reward: -10.09, Epsilon: 0.995
Episode 100, Total Reward: -9.44, Epsilon: 0.603
Episode 200, Total Reward: -9.19, Epsilon: 0.365
Episode 300, Total Reward: -9.11, Epsilon: 0.221
Episode 400, Total Reward: -1.51, Epsilon: 0.134
Episode 500, Total Reward: -5.47, Epsilon: 0.081
Episode 600, Total Reward: -8.26, Epsilon: 0.049
Episode 700, Total Reward: 0.07, Epsilon: 0.030
Episode 800, Total Reward: 2.15, Epsilon: 0.018
Episode 900, Total Reward: 4.07, Epsilon: 0.011
Episode 1000, Total Reward: 4.02, Epsilon: 0.010
Episode 1100, Total Reward: -6.48, Epsilon: 0.010
Episode 1200, Total Reward: -0.66, Epsilon: 0.010
Episode 1300, Total Reward: 4.76, Epsilon: 0.010
Episode 1400, Total Reward: 6.42, Epsilon: 0.010
Episode 1500, Total Reward: 5.42, Epsilon: 0.010
Episode 1600, Total Reward: 11.64, Epsilon: 0.010
Episode 1700, Total Reward: 6.86, Epsilon: 0.010
Episode 1800, Total Reward: 0.19, Epsilon: 0.010
Episode 1900, Total Reward: 0.26, Epsilon: 0.010
Episode 2000, Total Reward: 11.89, Epsilon: 0.010
Episode 2100, Total Reward: 0.10, Epsilon: 0.010
Episode 2200, Total Reward: 5.62, Epsilon: 0.010
Episode 2300, Total Reward: 13.31, Epsilon: 0.010
Episode 2400, Total Reward: 2.09, Epsilon: 0.010
Episode 2500, Total Reward: 5.69, Epsilon: 0.010
Episode 2600, Total Reward: 8.38, Epsilon: 0.010
Episode 2700, Total Reward: 0.46, Epsilon: 0.010
Episode 2800, Total Reward: 4.06, Epsilon: 0.010
Episode 2900, Total Reward: 4.57, Epsilon: 0.010
Episode 3000, Total Reward: 2.06, Epsilon: 0.010
Episode 3100, Total Reward: -7.20, Epsilon: 0.010
Episode 3200, Total Reward: -9.22, Epsilon: 0.010
Episode 3300, Total Reward: 9.55, Epsilon: 0.010
Episode 3400, Total Reward: 6.16, Epsilon: 0.010
Episode 3500, Total Reward: -3.56, Epsilon: 0.010
Episode 3600, Total Reward: 2.40, Epsilon: 0.010
Episode 3700, Total Reward: 5.29, Epsilon: 0.010
Episode 3800, Total Reward: 3.52, Epsilon: 0.010
Episode 3900, Total Reward: 3.58, Epsilon: 0.010
Episode 4000, Total Reward: 10.28, Epsilon: 0.010
Episode 4100, Total Reward: 8.15, Epsilon: 0.010
Episode 4200, Total Reward: 5.78, Epsilon: 0.010
Episode 4300, Total Reward: 5.75, Epsilon: 0.010
Episode 4400, Total Reward: 6.80, Epsilon: 0.010
Episode 4500, Total Reward: 7.57, Epsilon: 0.010
Episode 4600, Total Reward: 3.69, Epsilon: 0.010
Episode 4700, Total Reward: 10.33, Epsilon: 0.010
Episode 4800, Total Reward: 2.06, Epsilon: 0.010
Episode 4900, Total Reward: 4.90, Epsilon: 0.010
